sheet,gaap
,ForeignCurrencyFairValueHedgeLiabilityAtFairValue
,ForeignIncomeTaxExpenseBenefitContinuingOperations
,FurnitureAndFixturesGross
,FutureAmortizationExpenseThereafter
,FutureAmortizationExpenseTotal
,FutureAmortizationExpenseYearFive
,FutureAmortizationExpenseYearFour
,FutureAmortizationExpenseYearOne
,FutureAmortizationExpenseYearThree
,FutureAmortizationExpenseYearTwo
,GainContingencyUnrecordedAmount
,GainLossFromComponentsExcludedFromAssessmentOfFairValueHedgeEffectivenessNet
,GainLossOnSaleOfPropertyPlantEquipment
,Goodwill
,GoodwillAcquiredDuringPeriod
,GoodwillImpairmentLoss
,GrossProfit
,HedgeAccountingAdjustmentsRelatedToLongTermDebt
,HedgeAccountingAdjustmentsRelatedToTermDebt
,HedgedAssetFairValueHedge
,HedgedAssetFairValueHedgeCumulativeIncreaseDecrease
,HedgedLiabilityFairValueHedge
,HedgedLiabilityFairValueHedgeCumulativeIncreaseDecrease
,HeldToMaturitySecurities
,ImpairmentOfIntangibleAssetsExcludingGoodwill
,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill
,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign
,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
,IncomeTaxContingencyNumberOfSubsidiaries
,IncomeTaxExaminationInterestExpense
,IncomeTaxExaminationInterestExpenseBenefit
,IncomeTaxExpenseBenefit
,IncomeTaxReconciliationDeductionsQualifiedProductionActivities
,IncomeTaxReconciliationForeignIncomeTaxRateDifferential
,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate
,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost
,IncomeTaxReconciliationOtherAdjustments
,IncomeTaxReconciliationOtherReconcilingItems
,IncomeTaxReconciliationStateAndLocalIncomeTaxes
,IncomeTaxReconciliationTaxContingenciesDomestic
,IncomeTaxReconciliationTaxCreditsResearch
,IncomeTaxReconciliationTaxSettlementsDomestic
,IncomeTaxesPaidNet
,IncreaseDecreaseInAccountsPayable
,IncreaseDecreaseInAccountsReceivable
,IncreaseDecreaseInContractWithCustomerLiability
,IncreaseDecreaseInDeferredRevenue
,IncreaseDecreaseInInventories
,IncreaseDecreaseInNonTradeReceivables
,IncreaseDecreaseInOtherOperatingAssets
,IncreaseDecreaseInOtherOperatingLiabilities
,IncreaseDecreaseInOtherReceivables
,IncreaseDecreaseOtherCurrentAssets
,IndefiniteLivedIntangibleAssetsAccumulatedAmortization
,IndefiniteLivedIntangibleAssetsExcludingGoodwill
,IndefiniteLivedIntangibleAssetsGross
,IntangibleAssetsGross
,IntangibleAssetsGrossExcludingGoodwill
,IntangibleAssetsNetExcludingGoodwill
,InterestCostsIncurred
,InterestExpense
,InterestExpenseDebt
,InterestPaid
,InterestPaidNet
,InterestRateDerivativeAssetsAtFairValue
,InterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue
,InterestRateFairValueHedgeAssetAtFairValue
,InventoryFinishedGoodsNetOfReserves
,InventoryNet
,InventoryPartsAndComponentsNetOfReserves
,InventoryWorkInProcessAndRawMaterialsNetOfReserves
,InvestmentIncomeInterestAndDividend
,LandAndBuildingsGross
,LeaseAndRentalExpense
,LeaseholdImprovementsGross
,LesseeOperatingAndFinanceLeaseLeaseNotYetCommencedPaymentsDue
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidAfterYearFive
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidYearFive
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidYearFour
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidYearOne
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidYearThree
,LesseeOperatingAndFinanceLeaseLiabilityToBePaidYearTwo
,LesseeOperatingLeaseLeaseNotYetCommencedPaymentsDue
,LesseeOperatingLeaseLiabilityPaymentsDue
,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive
,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths
,LesseeOperatingLeaseLiabilityPaymentsDueYearFive
,LesseeOperatingLeaseLiabilityPaymentsDueYearFour
,LesseeOperatingLeaseLiabilityPaymentsDueYearThree
,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo
,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear
,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDue
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDueYearFive
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDueYearFour
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDueYearThree
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDueYearTwo
,LesseeOperatingandFinanceLeaseLiabilityPaymentsDueafterYearFive
,LesseeOperatingandFinanceLeaseLiabilityPaymentsRemainderofFiscalYear
,LesseeOperatingandFinanceLeaseLiabilityUndiscountedExcessAmount
,Liabilities
,LiabilitiesAndStockholdersEquity
,LiabilitiesCurrent
,LiabilitiesNoncurrent
,LitigationSettlementAmountAwardedFromOtherParty
,LitigationSettlementAmountAwardedToOtherParty
,LitigationSettlementAmountAwardedToOtherPartyRevisedAmountDeterminedinSubsequentProceedings
,LongTermDebt
,LongTermDebtCurrent
